filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 37/644(0.0574534161491)
pro : 2, count = 35/644(0.054347826087)
pro : 3, count = 27/644(0.0419254658385)
pro : 4, count = 40/644(0.0621118012422)
pro : 5, count = 34/644(0.0527950310559)
pro : 6, count = 38/644(0.0590062111801)
pro : 7, count = 47/644(0.0729813664596)
pro : 8, count = 47/644(0.0729813664596)
pro : 9, count = 44/644(0.0683229813665)
pro : 10, count = 38/644(0.0590062111801)
pro : 11, count = 42/644(0.0652173913043)
pro : 12, count = 32/644(0.0496894409938)
pro : 13, count = 45/644(0.0698757763975)
pro : 14, count = 41/644(0.0636645962733)
pro : 15, count = 42/644(0.0652173913043)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 39/644(0.0605590062112)
pro : 2, count = 35/644(0.054347826087)
pro : 3, count = 40/644(0.0621118012422)
pro : 4, count = 34/644(0.0527950310559)
pro : 5, count = 36/644(0.055900621118)
pro : 6, count = 36/644(0.055900621118)
pro : 7, count = 41/644(0.0636645962733)
pro : 8, count = 46/644(0.0714285714286)
pro : 9, count = 32/644(0.0496894409938)
pro : 10, count = 43/644(0.0667701863354)
pro : 11, count = 38/644(0.0590062111801)
pro : 12, count = 43/644(0.0667701863354)
pro : 13, count = 43/644(0.0667701863354)
pro : 14, count = 43/644(0.0667701863354)
pro : 15, count = 42/644(0.0652173913043)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 39/644(0.0605590062112)
pro : 2, count = 34/644(0.0527950310559)
pro : 3, count = 40/644(0.0621118012422)
pro : 4, count = 34/644(0.0527950310559)
pro : 5, count = 39/644(0.0605590062112)
pro : 6, count = 35/644(0.054347826087)
pro : 7, count = 44/644(0.0683229813665)
pro : 8, count = 33/644(0.0512422360248)
pro : 9, count = 40/644(0.0621118012422)
pro : 10, count = 42/644(0.0652173913043)
pro : 11, count = 48/644(0.0745341614907)
pro : 12, count = 40/644(0.0621118012422)
pro : 13, count = 36/644(0.055900621118)
pro : 14, count = 45/644(0.0698757763975)
pro : 15, count = 45/644(0.0698757763975)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 36/644(0.055900621118)
pro : 2, count = 38/644(0.0590062111801)
pro : 3, count = 32/644(0.0496894409938)
pro : 4, count = 44/644(0.0683229813665)
pro : 5, count = 34/644(0.0527950310559)
pro : 6, count = 36/644(0.055900621118)
pro : 7, count = 44/644(0.0683229813665)
pro : 8, count = 43/644(0.0667701863354)
pro : 9, count = 35/644(0.054347826087)
pro : 10, count = 47/644(0.0729813664596)
pro : 11, count = 37/644(0.0574534161491)
pro : 12, count = 40/644(0.0621118012422)
pro : 13, count = 39/644(0.0605590062112)
pro : 14, count = 45/644(0.0698757763975)
pro : 15, count = 41/644(0.0636645962733)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 28/644(0.0434782608696)
pro : 2, count = 51/644(0.0791925465839)
pro : 3, count = 48/644(0.0745341614907)
pro : 4, count = 35/644(0.054347826087)
pro : 5, count = 36/644(0.055900621118)
pro : 6, count = 41/644(0.0636645962733)
pro : 7, count = 41/644(0.0636645962733)
pro : 8, count = 35/644(0.054347826087)
pro : 9, count = 33/644(0.0512422360248)
pro : 10, count = 39/644(0.0605590062112)
pro : 11, count = 40/644(0.0621118012422)
pro : 12, count = 39/644(0.0605590062112)
