filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 112/1644(0.0681265206813)
pro : 2, count = 93/1644(0.0565693430657)
pro : 3, count = 97/1644(0.05900243309)
pro : 4, count = 89/1644(0.0541362530414)
pro : 5, count = 82/1644(0.0498783454988)
pro : 6, count = 83/1644(0.0504866180049)
pro : 7, count = 72/1644(0.043795620438)
pro : 8, count = 80/1644(0.0486618004866)
pro : 9, count = 70/1644(0.0425790754258)
pro : 10, count = 49/1644(0.0298053527981)
pro : 11, count = 70/1644(0.0425790754258)
pro : 12, count = 49/1644(0.0298053527981)
pro : 13, count = 42/1644(0.0255474452555)
pro : 14, count = 39/1644(0.0237226277372)
pro : 15, count = 36/1644(0.021897810219)
pro : 16, count = 32/1644(0.0194647201946)
pro : 17, count = 10/1644(0.00608272506083)
pro : 18, count = 11/1644(0.00669099756691)
pro : 19, count = 4/1644(0.00243309002433)
pro : 20, count = 1/1644(0.000608272506083)
pro : 21, count = 2/1644(0.00121654501217)
pro : 22, count = 0/1644(0.0)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 99/1644(0.0602189781022)
pro : 2, count = 99/1644(0.0602189781022)
pro : 3, count = 86/1644(0.0523114355231)
pro : 4, count = 79/1644(0.0480535279805)
pro : 5, count = 72/1644(0.043795620438)
pro : 6, count = 94/1644(0.0571776155718)
pro : 7, count = 74/1644(0.0450121654501)
pro : 8, count = 83/1644(0.0504866180049)
pro : 9, count = 75/1644(0.0456204379562)
pro : 10, count = 58/1644(0.0352798053528)
pro : 11, count = 57/1644(0.0346715328467)
pro : 12, count = 58/1644(0.0352798053528)
pro : 13, count = 45/1644(0.0273722627737)
pro : 14, count = 39/1644(0.0237226277372)
pro : 15, count = 39/1644(0.0237226277372)
pro : 16, count = 35/1644(0.0212895377129)
pro : 17, count = 15/1644(0.00912408759124)
pro : 18, count = 7/1644(0.00425790754258)
pro : 19, count = 5/1644(0.00304136253041)
pro : 20, count = 2/1644(0.00121654501217)
pro : 21, count = 2/1644(0.00121654501217)
pro : 22, count = 0/1644(0.0)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 98/1644(0.0596107055961)
pro : 2, count = 84/1644(0.0510948905109)
pro : 3, count = 89/1644(0.0541362530414)
pro : 4, count = 85/1644(0.051703163017)
pro : 5, count = 72/1644(0.043795620438)
pro : 6, count = 81/1644(0.0492700729927)
pro : 7, count = 70/1644(0.0425790754258)
pro : 8, count = 61/1644(0.037104622871)
pro : 9, count = 80/1644(0.0486618004866)
pro : 10, count = 70/1644(0.0425790754258)
pro : 11, count = 64/1644(0.0389294403893)
pro : 12, count = 62/1644(0.0377128953771)
pro : 13, count = 49/1644(0.0298053527981)
pro : 14, count = 41/1644(0.0249391727494)
pro : 15, count = 38/1644(0.0231143552311)
pro : 16, count = 38/1644(0.0231143552311)
pro : 17, count = 21/1644(0.0127737226277)
pro : 18, count = 9/1644(0.00547445255474)
pro : 19, count = 4/1644(0.00243309002433)
pro : 20, count = 4/1644(0.00243309002433)
pro : 21, count = 3/1644(0.00182481751825)
pro : 22, count = 0/1644(0.0)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 99/1644(0.0602189781022)
pro : 2, count = 100/1644(0.0608272506083)
pro : 3, count = 87/1644(0.0529197080292)
pro : 4, count = 86/1644(0.0523114355231)
pro : 5, count = 73/1644(0.044403892944)
pro : 6, count = 92/1644(0.0559610705596)
pro : 7, count = 69/1644(0.0419708029197)
pro : 8, count = 90/1644(0.0547445255474)
pro : 9, count = 74/1644(0.0450121654501)
pro : 10, count = 64/1644(0.0389294403893)
pro : 11, count = 53/1644(0.0322384428224)
pro : 12, count = 47/1644(0.0285888077859)
pro : 13, count = 41/1644(0.0249391727494)
pro : 14, count = 52/1644(0.0316301703163)
pro : 15, count = 33/1644(0.0200729927007)
pro : 16, count = 31/1644(0.0188564476886)
pro : 17, count = 15/1644(0.00912408759124)
pro : 18, count = 9/1644(0.00547445255474)
pro : 19, count = 4/1644(0.00243309002433)
pro : 20, count = 2/1644(0.00121654501217)
pro : 21, count = 2/1644(0.00121654501217)
pro : 22, count = 0/1644(0.0)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 103/1644(0.0626520681265)
pro : 2, count = 102/1644(0.0620437956204)
pro : 3, count = 91/1644(0.0553527980535)
pro : 4, count = 84/1644(0.0510948905109)
pro : 5, count = 90/1644(0.0547445255474)
pro : 6, count = 70/1644(0.0425790754258)
pro : 7, count = 84/1644(0.0510948905109)
pro : 8, count = 64/1644(0.0389294403893)
pro : 9, count = 75/1644(0.0456204379562)
pro : 10, count = 55/1644(0.0334549878345)
pro : 11, count = 63/1644(0.0383211678832)
pro : 12, count = 47/1644(0.0285888077859)
pro : 13, count = 50/1644(0.0304136253041)
pro : 14, count = 44/1644(0.0267639902676)
pro : 15, count = 38/1644(0.0231143552311)
pro : 16, count = 31/1644(0.0188564476886)
pro : 17, count = 12/1644(0.00729927007299)
pro : 18, count = 12/1644(0.00729927007299)
pro : 19, count = 5/1644(0.00304136253041)
pro : 20, count = 2/1644(0.00121654501217)
pro : 21, count = 1/1644(0.000608272506083)
pro : 22, count = 0/1644(0.0)
filename = ./accuracy_test/Accuracy_Test_2.txt, fileindex = 2
pro : 0, count = 521/1644(0.316909975669)
pro : 1, count = 99/1644(0.0602189781022)
pro : 2, count = 98/1644(0.0596107055961)
pro : 3, count = 86/1644(0.0523114355231)
pro : 4, count = 81/1644(0.0492700729927)
pro : 5, count = 65/1644(0.0395377128954)
pro : 6, count = 96/1644(0.0583941605839)
pro : 7, count = 67/1644(0.0407542579075)
pro : 8, count = 67/1644(0.0407542579075)
pro : 9, count = 81/1644(0.0492700729927)
pro : 10, count = 63/1644(0.0383211678832)
pro : 11, count = 64/1644(0.0389294403893)
pro : 12, count = 62/1644(0.0377128953771)
pro : 13, count = 48/1644(0.029197080292)
