filename = ./accuracy_test/Accuracy_Test_306.txt, fileindex = 306
redNum : 1, count = 30/924(0.0324675324675)
redNum : 2, count = 22/924(0.0238095238095)
redNum : 3, count = 26/924(0.0281385281385)
redNum : 4, count = 23/924(0.0248917748918)
redNum : 5, count = 30/924(0.0324675324675)
redNum : 6, count = 26/924(0.0281385281385)
redNum : 7, count = 27/924(0.0292207792208)
redNum : 8, count = 29/924(0.0313852813853)
redNum : 9, count = 27/924(0.0292207792208)
redNum : 10, count = 30/924(0.0324675324675)
redNum : 11, count = 27/924(0.0292207792208)
redNum : 12, count = 31/924(0.0335497835498)
redNum : 13, count = 27/924(0.0292207792208)
redNum : 14, count = 27/924(0.0292207792208)
redNum : 15, count = 24/924(0.025974025974)
redNum : 16, count = 29/924(0.0313852813853)
redNum : 17, count = 32/924(0.034632034632)
redNum : 18, count = 32/924(0.034632034632)
redNum : 19, count = 31/924(0.0335497835498)
redNum : 20, count = 22/924(0.0238095238095)
redNum : 21, count = 30/924(0.0324675324675)
redNum : 22, count = 41/924(0.0443722943723)
redNum : 23, count = 22/924(0.0238095238095)
redNum : 24, count = 23/924(0.0248917748918)
redNum : 25, count = 19/924(0.0205627705628)
redNum : 26, count = 33/924(0.0357142857143)
redNum : 27, count = 31/924(0.0335497835498)
redNum : 28, count = 29/924(0.0313852813853)
redNum : 29, count = 38/924(0.0411255411255)
redNum : 30, count = 32/924(0.034632034632)
redNum : 31, count = 24/924(0.025974025974)
redNum : 32, count = 27/924(0.0292207792208)
redNum : 33, count = 23/924(0.0248917748918)
blueNum : 1, count = 8/154(0.0519480519481)
blueNum : 2, count = 12/154(0.0779220779221)
blueNum : 3, count = 10/154(0.0649350649351)
blueNum : 4, count = 11/154(0.0714285714286)
blueNum : 5, count = 7/154(0.0454545454545)
blueNum : 6, count = 10/154(0.0649350649351)
blueNum : 7, count = 9/154(0.0584415584416)
blueNum : 8, count = 8/154(0.0519480519481)
blueNum : 9, count = 16/154(0.103896103896)
blueNum : 10, count = 8/154(0.0519480519481)
blueNum : 11, count = 7/154(0.0454545454545)
blueNum : 12, count = 5/154(0.0324675324675)
blueNum : 13, count = 13/154(0.0844155844156)
blueNum : 14, count = 11/154(0.0714285714286)
blueNum : 15, count = 13/154(0.0844155844156)
blueNum : 16, count = 6/154(0.038961038961)
Red1 Num : 1, count = 30/154(0.194805194805)
Red1 Num : 2, count = 20/154(0.12987012987)
Red1 Num : 3, count = 24/154(0.155844155844)
Red1 Num : 4, count = 12/154(0.0779220779221)
Red1 Num : 5, count = 15/154(0.0974025974026)
Red1 Num : 6, count = 13/154(0.0844155844156)
Red1 Num : 7, count = 8/154(0.0519480519481)
Red1 Num : 8, count = 7/154(0.0454545454545)
Red1 Num : 9, count = 6/154(0.038961038961)
Red1 Num : 10, count = 8/154(0.0519480519481)
Red1 Num : 11, count = 3/154(0.0194805194805)
Red1 Num : 12, count = 3/154(0.0194805194805)
Red1 Num : 13, count = 0/154(0.0)
Red1 Num : 14, count = 1/154(0.00649350649351)
Red1 Num : 15, count = 2/154(0.012987012987)
Red1 Num : 16, count = 0/154(0.0)
Red1 Num : 17, count = 1/154(0.00649350649351)
Red1 Num : 18, count = 0/154(0.0)
Red1 Num : 19, count = 1/154(0.00649350649351)
Red1 Unit : 0, count = 8/154(0.0519480519481)
Red1 Unit : 1, count = 33/154(0.214285714286)
Red1 Unit : 2, count = 23/154(0.149350649351)
Red1 Unit : 3, count = 24/154(0.155844155844)
Red1 Unit : 4, count = 13/154(0.0844155844156)
Red1 Unit : 5, count = 17/154(0.11038961039)
Red1 Unit : 6, count = 13/154(0.0844155844156)
Red1 Unit : 7, count = 9/154(0.0584415584416)
Red1 Unit : 8, count = 7/154(0.0454545454545)
Red1 Unit : 9, count = 7/154(0.0454545454545)
Red1 Decade : 0, count = 135/154(0.876623376623)
Red1 Decade : 1, count = 19/154(0.123376623377)
Red1 Decade : 2, count = 0/154(0.0)
Red1 Decade : 3, count = 0/154(0.0)
Red1 Jiou : (ODD) zero_count = 90/154(0.584415584416)
Red1 Jiou : (EVEN) one_count = 64/154(0.415584415584)
Red1 Daxiao : (BIG) zero_count = 2/154(0.012987012987)
Red1 Daxiao : (SMALL) one_count = 152/154(0.987012987013)
Red1 Zhihe : (PRIME) zero_count = 102/154(0.662337662338)
Red1 Zhihe : (COMPOSITE) one_count = 52/154(0.337662337662)
Red1 Wuxing : 0, count = 14/154(0.0909090909091)
Red1 Wuxing : 1, count = 38/154(0.246753246753)
Red1 Wuxing : 2, count = 33/154(0.214285714286)
Red1 Wuxing : 3, count = 22/154(0.142857142857)
Red1 Wuxing : 4, count = 47/154(0.305194805195)
Red1 Num Avg = 4.79220779221
Red2 Num : 2, count = 2/154(0.012987012987)
Red2 Num : 3, count = 2/154(0.012987012987)
Red2 Num : 4, count = 11/154(0.0714285714286)
Red2 Num : 5, count = 12/154(0.0779220779221)
Red2 Num : 6, count = 11/154(0.0714285714286)
Red2 Num : 7, count = 13/154(0.0844155844156)
Red2 Num : 8, count = 17/154(0.11038961039)
