filename = ./accuracy_test/Accuracy_Test_315.txt
redNum : 1, count = 22/582(0.0378006872852)
redNum : 2, count = 23/582(0.0395189003436)
redNum : 3, count = 14/582(0.0240549828179)
redNum : 4, count = 19/582(0.03264604811)
redNum : 5, count = 21/582(0.0360824742268)
redNum : 6, count = 20/582(0.0343642611684)
redNum : 7, count = 18/582(0.0309278350515)
redNum : 8, count = 27/582(0.0463917525773)
redNum : 9, count = 15/582(0.0257731958763)
redNum : 10, count = 22/582(0.0378006872852)
redNum : 11, count = 15/582(0.0257731958763)
redNum : 12, count = 17/582(0.0292096219931)
redNum : 13, count = 15/582(0.0257731958763)
redNum : 14, count = 19/582(0.03264604811)
redNum : 15, count = 21/582(0.0360824742268)
redNum : 16, count = 16/582(0.0274914089347)
redNum : 17, count = 7/582(0.0120274914089)
redNum : 18, count = 12/582(0.020618556701)
redNum : 19, count = 18/582(0.0309278350515)
redNum : 20, count = 16/582(0.0274914089347)
redNum : 21, count = 8/582(0.0137457044674)
redNum : 22, count = 25/582(0.0429553264605)
redNum : 23, count = 23/582(0.0395189003436)
redNum : 24, count = 19/582(0.03264604811)
redNum : 25, count = 18/582(0.0309278350515)
redNum : 26, count = 17/582(0.0292096219931)
redNum : 27, count = 16/582(0.0274914089347)
redNum : 28, count = 13/582(0.0223367697595)
redNum : 29, count = 22/582(0.0378006872852)
redNum : 30, count = 18/582(0.0309278350515)
redNum : 31, count = 21/582(0.0360824742268)
redNum : 32, count = 14/582(0.0240549828179)
redNum : 33, count = 11/582(0.0189003436426)
blueNum : 1, count = 1/97(0.0103092783505)
blueNum : 2, count = 6/97(0.0618556701031)
blueNum : 3, count = 6/97(0.0618556701031)
blueNum : 4, count = 6/97(0.0618556701031)
blueNum : 5, count = 8/97(0.0824742268041)
blueNum : 6, count = 8/97(0.0824742268041)
blueNum : 7, count = 10/97(0.103092783505)
blueNum : 8, count = 7/97(0.0721649484536)
blueNum : 9, count = 7/97(0.0721649484536)
blueNum : 10, count = 6/97(0.0618556701031)
blueNum : 11, count = 4/97(0.0412371134021)
blueNum : 12, count = 6/97(0.0618556701031)
blueNum : 13, count = 5/97(0.0515463917526)
blueNum : 14, count = 4/97(0.0412371134021)
blueNum : 15, count = 8/97(0.0824742268041)
blueNum : 16, count = 5/97(0.0515463917526)
Red1 Num : 1, count = 22/97(0.226804123711)
Red1 Num : 2, count = 19/97(0.19587628866)
Red1 Num : 3, count = 8/97(0.0824742268041)
Red1 Num : 4, count = 7/97(0.0721649484536)
Red1 Num : 5, count = 11/97(0.113402061856)
Red1 Num : 6, count = 5/97(0.0515463917526)
Red1 Num : 7, count = 6/97(0.0618556701031)
Red1 Num : 8, count = 4/97(0.0412371134021)
Red1 Num : 9, count = 3/97(0.0309278350515)
Red1 Num : 10, count = 4/97(0.0412371134021)
Red1 Num : 11, count = 2/97(0.020618556701)
Red1 Num : 12, count = 1/97(0.0103092783505)
Red1 Num : 13, count = 1/97(0.0103092783505)
Red1 Num : 14, count = 1/97(0.0103092783505)
Red1 Num : 15, count = 2/97(0.020618556701)
Red1 Num : 16, count = 0/97(0.0)
Red1 Num : 17, count = 0/97(0.0)
Red1 Num : 18, count = 1/97(0.0103092783505)
Red1 Unit : 0, count = 4/97(0.0412371134021)
Red1 Unit : 1, count = 24/97(0.247422680412)
Red1 Unit : 2, count = 20/97(0.20618556701)
Red1 Unit : 3, count = 9/97(0.0927835051546)
Red1 Unit : 4, count = 8/97(0.0824742268041)
Red1 Unit : 5, count = 13/97(0.134020618557)
Red1 Unit : 6, count = 5/97(0.0515463917526)
Red1 Unit : 7, count = 6/97(0.0618556701031)
Red1 Unit : 8, count = 5/97(0.0515463917526)
Red1 Unit : 9, count = 3/97(0.0309278350515)
Red1 Decade : 0, count = 85/97(0.876288659794)
Red1 Decade : 1, count = 12/97(0.123711340206)
Red1 Decade : 2, count = 0/97(0.0)
Red1 Decade : 3, count = 0/97(0.0)
Red1 Jiou : (ODD) zero_count = 55/97(0.567010309278)
Red1 Jiou : (EVEN) one_count = 42/97(0.432989690722)
Red1 Daxiao : (BIG) zero_count = 1/97(0.0103092783505)
Red1 Daxiao : (SMALL) one_count = 96/97(0.989690721649)
Red1 Zhihe : (PRIME) zero_count = 69/97(0.711340206186)
Red1 Zhihe : (COMPOSITE) one_count = 28/97(0.288659793814)
Red1 Wuxing : 0, count = 7/97(0.0721649484536)
Red1 Wuxing : 1, count = 17/97(0.175257731959)
Red1 Wuxing : 2, count = 24/97(0.247422680412)
Red1 Wuxing : 3, count = 12/97(0.123711340206)
Red1 Wuxing : 4, count = 37/97(0.381443298969)
Red1 Num Avg = 4.60824742268
Red2 Num : 2, count = 4/97(0.0412371134021)
Red2 Num : 3, count = 5/97(0.0515463917526)
Red2 Num : 4, count = 8/97(0.0824742268041)
Red2 Num : 5, count = 8/97(0.0824742268041)
Red2 Num : 6, count = 10/97(0.103092783505)
Red2 Num : 7, count = 11/97(0.113402061856)
Red2 Num : 8, count = 13/97(0.134020618557)
Red2 Num : 9, count = 3/97(0.0309278350515)
Red2 Num : 10, count = 7/97(0.0721649484536)
Red2 Num : 11, count = 8/97(0.0824742268041)
Red2 Num : 12, count = 4/97(0.0412371134021)
Red2 Num : 13, count = 4/97(0.0412371134021)
Red2 Num : 14, count = 1/97(0.0103092783505)
Red2 Num : 15, count = 3/97(0.0309278350515)
Red2 Num : 16, count = 2/97(0.020618556701)
Red2 Num : 17, count = 0/97(0.0)
Red2 Num : 18, count = 2/97(0.020618556701)
Red2 Num : 19, count = 2/97(0.020618556701)
Red2 Num : 20, count = 1/97(0.0103092783505)
Red2 Num : 21, count = 1/97(0.0103092783505)
Red2 Unit : 0, count = 8/97(0.0824742268041)
Red2 Unit : 1, count = 9/97(0.0927835051546)
Red2 Unit : 2, count = 8/97(0.0824742268041)
Red2 Unit : 3, count = 9/97(0.0927835051546)
Red2 Unit : 4, count = 9/97(0.0927835051546)
Red2 Unit : 5, count = 11/97(0.113402061856)
Red2 Unit : 6, count = 12/97(0.123711340206)
Red2 Unit : 7, count = 11/97(0.113402061856)
Red2 Unit : 8, count = 15/97(0.154639175258)
Red2 Unit : 9, count = 5/97(0.0515463917526)
Red2 Decade : 0, count = 62/97(0.639175257732)
Red2 Decade : 1, count = 33/97(0.340206185567)
Red2 Decade : 2, count = 2/97(0.020618556701)
Red2 Decade : 3, count = 0/97(0.0)
Red2 Jiou : (ODD) zero_count = 45/97(0.463917525773)
Red2 Jiou : (EVEN) one_count = 52/97(0.536082474227)
Red2 Daxiao : (BIG) zero_count = 6/97(0.0618556701031)
Red2 Daxiao : (SMALL) one_count = 91/97(0.938144329897)
Red2 Zhihe : (PRIME) zero_count = 42/97(0.432989690722)
Red2 Zhihe : (COMPOSITE) one_count = 55/97(0.567010309278)
Red2 Wuxing : 0, count = 11/97(0.113402061856)
Red2 Wuxing : 1, count = 18/97(0.185567010309)
Red2 Wuxing : 2, count = 8/97(0.0824742268041)
Red2 Wuxing : 3, count = 25/97(0.257731958763)
Red2 Wuxing : 4, count = 35/97(0.360824742268)
Red2 Num Avg  = 8.52577319588
Red3 Num : 3, count = 1/97(0.0103092783505)
Red3 Num : 4, count = 4/97(0.0412371134021)
Red3 Num : 5, count = 2/97(0.020618556701)
Red3 Num : 6, count = 5/97(0.0515463917526)
Red3 Num : 7, count = 0/97(0.0)
Red3 Num : 8, count = 10/97(0.103092783505)
Red3 Num : 9, count = 7/97(0.0721649484536)
Red3 Num : 10, count = 5/97(0.0515463917526)
Red3 Num : 11, count = 4/97(0.0412371134021)
Red3 Num : 12, count = 8/97(0.0824742268041)
Red3 Num : 13, count = 7/97(0.0721649484536)
Red3 Num : 14, count = 10/97(0.103092783505)
Red3 Num : 15, count = 4/97(0.0412371134021)
Red3 Num : 16, count = 9/97(0.0927835051546)
Red3 Num : 17, count = 1/97(0.0103092783505)
Red3 Num : 18, count = 6/97(0.0618556701031)
Red3 Num : 19, count = 3/97(0.0309278350515)
Red3 Num : 20, count = 3/97(0.0309278350515)
Red3 Num : 21, count = 2/97(0.020618556701)
Red3 Num : 22, count = 2/97(0.020618556701)
Red3 Num : 23, count = 2/97(0.020618556701)
Red3 Num : 24, count = 0/97(0.0)
Red3 Num : 25, count = 1/97(0.0103092783505)
Red3 Num : 26, count = 0/97(0.0)
Red3 Num : 27, count = 0/97(0.0)
Red3 Num : 28, count = 1/97(0.0103092783505)
Red3 Unit : 0, count = 8/97(0.0824742268041)
Red3 Unit : 1, count = 6/97(0.0618556701031)
Red3 Unit : 2, count = 10/97(0.103092783505)
Red3 Unit : 3, count = 10/97(0.103092783505)
Red3 Unit : 4, count = 14/97(0.144329896907)
