filename = ./accuracy_test/Accuracy_Test_311.txt
redNum : 1, count = 13/490(0.0265306122449)
redNum : 2, count = 9/490(0.0183673469388)
redNum : 3, count = 13/490(0.0265306122449)
redNum : 4, count = 16/490(0.0326530612245)
redNum : 5, count = 20/490(0.0408163265306)
redNum : 6, count = 20/490(0.0408163265306)
redNum : 7, count = 12/490(0.0244897959184)
redNum : 8, count = 14/490(0.0285714285714)
redNum : 9, count = 12/490(0.0244897959184)
redNum : 10, count = 10/490(0.0204081632653)
redNum : 11, count = 11/490(0.0224489795918)
redNum : 12, count = 11/490(0.0224489795918)
redNum : 13, count = 12/490(0.0244897959184)
redNum : 14, count = 17/490(0.034693877551)
redNum : 15, count = 15/490(0.030612244898)
redNum : 16, count = 11/490(0.0224489795918)
redNum : 17, count = 23/490(0.0469387755102)
redNum : 18, count = 15/490(0.030612244898)
redNum : 19, count = 16/490(0.0326530612245)
redNum : 20, count = 14/490(0.0285714285714)
redNum : 21, count = 13/490(0.0265306122449)
redNum : 22, count = 16/490(0.0326530612245)
redNum : 23, count = 12/490(0.0244897959184)
redNum : 24, count = 12/490(0.0244897959184)
redNum : 25, count = 15/490(0.030612244898)
redNum : 26, count = 10/490(0.0204081632653)
redNum : 27, count = 8/490(0.0163265306122)
redNum : 28, count = 11/490(0.0224489795918)
redNum : 29, count = 15/490(0.030612244898)
redNum : 30, count = 15/490(0.030612244898)
redNum : 31, count = 14/490(0.0285714285714)
redNum : 32, count = 14/490(0.0285714285714)
redNum : 33, count = 17/490(0.034693877551)
redNum : 34, count = 20/490(0.0408163265306)
redNum : 35, count = 14/490(0.0285714285714)
blueNum : 1, count = 10/196(0.0510204081633)
blueNum : 2, count = 25/196(0.127551020408)
blueNum : 3, count = 18/196(0.0918367346939)
blueNum : 4, count = 14/196(0.0714285714286)
blueNum : 5, count = 18/196(0.0918367346939)
blueNum : 6, count = 16/196(0.0816326530612)
blueNum : 7, count = 11/196(0.0561224489796)
blueNum : 8, count = 11/196(0.0561224489796)
blueNum : 9, count = 22/196(0.112244897959)
blueNum : 10, count = 11/196(0.0561224489796)
blueNum : 11, count = 21/196(0.107142857143)
blueNum : 12, count = 19/196(0.0969387755102)
Red1 Num : 1, count = 13/98(0.132653061224)
Red1 Num : 2, count = 9/98(0.0918367346939)
Red1 Num : 3, count = 10/98(0.102040816327)
Red1 Num : 4, count = 9/98(0.0918367346939)
Red1 Num : 5, count = 12/98(0.122448979592)
Red1 Num : 6, count = 8/98(0.0816326530612)
Red1 Num : 7, count = 6/98(0.0612244897959)
Red1 Num : 8, count = 5/98(0.0510204081633)
Red1 Num : 9, count = 3/98(0.030612244898)
Red1 Num : 10, count = 5/98(0.0510204081633)
Red1 Num : 11, count = 2/98(0.0204081632653)
Red1 Num : 12, count = 3/98(0.030612244898)
Red1 Num : 13, count = 1/98(0.0102040816327)
Red1 Num : 14, count = 3/98(0.030612244898)
Red1 Num : 15, count = 3/98(0.030612244898)
Red1 Num : 16, count = 2/98(0.0204081632653)
Red1 Num : 17, count = 0/98(0.0)
Red1 Num : 18, count = 1/98(0.0102040816327)
Red1 Num : 19, count = 1/98(0.0102040816327)
Red1 Num : 20, count = 0/98(0.0)
Red1 Num : 21, count = 2/98(0.0204081632653)
Red1 Unit : 0, count = 5/98(0.0510204081633)
Red1 Unit : 1, count = 17/98(0.173469387755)
Red1 Unit : 2, count = 12/98(0.122448979592)
Red1 Unit : 3, count = 11/98(0.112244897959)
Red1 Unit : 4, count = 12/98(0.122448979592)
Red1 Unit : 5, count = 15/98(0.15306122449)
Red1 Unit : 6, count = 10/98(0.102040816327)
Red1 Unit : 7, count = 6/98(0.0612244897959)
Red1 Unit : 8, count = 6/98(0.0612244897959)
Red1 Unit : 9, count = 4/98(0.0408163265306)
Red1 Decade : 0, count = 75/98(0.765306122449)
Red1 Decade : 1, count = 21/98(0.214285714286)
Red1 Decade : 2, count = 2/98(0.0204081632653)
Red1 Decade : 3, count = 0/98(0.0)
Red1 Jiou : (ODD) zero_count = 53/98(0.540816326531)
Red1 Jiou : (EVEN) one_count = 45/98(0.459183673469)
Red1 Daxiao : (BIG) zero_count = 4/98(0.0408163265306)
Red1 Daxiao : (SMALL) one_count = 94/98(0.959183673469)
Red1 Zhihe : (PRIME) zero_count = 54/98(0.551020408163)
Red1 Zhihe : (COMPOSITE) one_count = 44/98(0.448979591837)
Red1 Wuxing : 0, count = 10/98(0.102040816327)
Red1 Wuxing : 1, count = 24/98(0.244897959184)
Red1 Wuxing : 2, count = 17/98(0.173469387755)
Red1 Wuxing : 3, count = 16/98(0.163265306122)
Red1 Wuxing : 4, count = 31/98(0.316326530612)
Red1 Num Avg = 6.45918367347
Red2 Num : 3, count = 3/98(0.030612244898)
Red2 Num : 4, count = 6/98(0.0612244897959)
Red2 Num : 5, count = 8/98(0.0816326530612)
Red2 Num : 6, count = 8/98(0.0816326530612)
Red2 Num : 7, count = 5/98(0.0510204081633)
Red2 Num : 8, count = 6/98(0.0612244897959)
Red2 Num : 9, count = 4/98(0.0408163265306)
Red2 Num : 10, count = 3/98(0.030612244898)
Red2 Num : 11, count = 5/98(0.0510204081633)
Red2 Num : 12, count = 5/98(0.0510204081633)
Red2 Num : 13, count = 5/98(0.0510204081633)
Red2 Num : 14, count = 4/98(0.0408163265306)
Red2 Num : 15, count = 6/98(0.0612244897959)
Red2 Num : 16, count = 6/98(0.0612244897959)
Red2 Num : 17, count = 7/98(0.0714285714286)
Red2 Num : 18, count = 3/98(0.030612244898)
Red2 Num : 19, count = 5/98(0.0510204081633)
Red2 Num : 20, count = 1/98(0.0102040816327)
Red2 Num : 21, count = 2/98(0.0204081632653)
Red2 Num : 22, count = 2/98(0.0204081632653)
Red2 Num : 23, count = 1/98(0.0102040816327)
